Channel2,Gender,Race,Age,Age_Group,Province,Watch_Time,watch_time_classification,total_watch_time_hours,avg_watch_time_hours,viewing_date,Day,Date,Month,day_classification,viewing_segment_classification
Cartoon Network,male,indian_asian,26,3. Young Adult,Kwazulu Natal,0:00:40,1. Skim,0.011111,0.011111,25:00.0,Sat,9,Jan,Weekend,3. Mid_Morning
Boomerang,male,None,43,4. Adult,Western Cape,0:00:00,1. Skim,0,0.00E+00,15:00.0,Fri,19,Feb,Weekday,6. Evening_Peak
SawSee,male,black,22,3. Young Adult,Mpumalanga,0:00:15,1. Skim,0.004167,0.004167,51:00.0,Wed,9,Mar,Weekday,3. Mid_Morning
Trace TV,male,black,37,4. Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,28:00.0,Tue,8,Mar,Weekday,5. Evening
ICC Cricket World Cup 2011,male,None,26,3. Young Adult,Western Cape,0:53:50,3. Regular_watch,0.897222,0.897222,20:00.0,Tue,15,Mar,Weekday,4. Afternoon
Boomerang,male,black,30,3. Young Adult,Gauteng,0:04:31,1. Skim,0.075278,0.075278,13:00.0,Thu,10,Mar,Weekday,6. Evening_Peak
CNN,male,black,36,4. Adult,Gauteng,0:20:39,3. Regular_watch,0.344166,0.344166,35:00.0,Thu,11,Feb,Weekday,6. Evening_Peak
Trace TV,male,indian_asian,36,4. Adult,Kwazulu Natal,0:04:57,1. Skim,0.0825,0.0825,38:00.0,Sun,6,Mar,Weekend,4. Afternoon
Supersport Live Events,male,coloured,35,3. Young Adult,Western Cape,0:00:18,1. Skim,0.005,0.005,18:00.0,Sat,6,Feb,Weekend,5. Evening
ICC Cricket World Cup 2011,male,black,24,3. Young Adult,Mpumalanga,0:00:06,1. Skim,0.001667,0.001667,48:00.0,Sun,6,Mar,Weekend,3. Mid_Morning
Africa Magic,male,black,31,3. Young Adult,Gauteng,0:00:14,1. Skim,0.003889,0.003889,07:00.0,Sat,19,Mar,Weekend,1. Graveyard
Trace TV,male,black,31,3. Young Adult,Gauteng,0:01:57,1. Skim,0.0325,0.0325,29:00.0,Fri,1,Jan,Weekday,5. Evening
Trace TV,male,black,31,3. Young Adult,Gauteng,0:01:57,1. Skim,0.0325,0.0325,54:00.0,Mon,7,Mar,Weekday,2. Morning_Peak
Cartoon Network,male,black,31,3. Young Adult,Gauteng,0:04:14,1. Skim,0.070556,0.070556,27:00.0,Tue,1,Mar,Weekday,2. Morning_Peak
Africa Magic,female,black,35,3. Young Adult,Kwazulu Natal,0:00:25,1. Skim,0.006944,0.006944,56:00.0,Sun,14,Feb,Weekend,3. Mid_Morning
SuperSport Blitz,male,black,18,2. Teen,Free State,0:11:20,2. Short_watch,0.188889,0.188889,23:00.0,Thu,3,Mar,Weekday,2. Morning_Peak
Supersport Live Events,male,black,56,4. Adult,Gauteng,0:02:06,1. Skim,0.035,0.035,45:00.0,Thu,28,Jan,Weekday,3. Mid_Morning
Trace TV,male,black,49,4. Adult,Gauteng,0:00:30,1. Skim,0.008333,0.008333,43:00.0,Fri,1,Jan,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,30,3. Young Adult,Limpopo,0:00:00,1. Skim,0,0.00E+00,03:00.0,Wed,23,Mar,Weekday,4. Afternoon
M-Net,male,coloured,50,4. Adult,Western Cape,0:00:21,1. Skim,0.005833,0.005833,57:00.0,Sun,13,Mar,Weekend,4. Afternoon
Trace TV,male,black,25,3. Young Adult,Gauteng,0:14:51,2. Short_watch,0.2475,0.2475,21:00.0,Wed,24,Feb,Weekday,6. Evening_Peak
Trace TV,male,white,36,4. Adult,Limpopo,0:05:18,2. Short_watch,0.088333,0.088333,37:00.0,Sat,5,Mar,Weekend,6. Evening_Peak
Trace TV,male,black,19,2. Teen,Gauteng,0:59:00,3. Regular_watch,0.983333,0.983333,22:00.0,Thu,31,Mar,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,coloured,36,4. Adult,Western Cape,0:04:04,1. Skim,0.067778,0.067778,14:00.0,Wed,24,Feb,Weekday,4. Afternoon
Supersport Live Events,male,coloured,36,4. Adult,Western Cape,0:02:12,1. Skim,0.036666,0.036666,42:00.0,Sat,6,Feb,Weekend,2. Morning_Peak
Boomerang,male,black,21,3. Young Adult,Free State,0:37:25,3. Regular_watch,0.623611,0.623611,17:00.0,Sat,19,Mar,Weekend,6. Evening_Peak
SuperSport Blitz,male,indian_asian,53,4. Adult,Kwazulu Natal,0:00:00,1. Skim,0,0.00E+00,51:00.0,Wed,9,Mar,Weekday,2. Morning_Peak
Supersport Live Events,male,black,28,3. Young Adult,Gauteng,0:02:04,1. Skim,0.034444,0.034444,02:00.0,Fri,22,Jan,Weekday,4. Afternoon
Cartoon Network,male,coloured,29,3. Young Adult,Limpopo,0:01:16,1. Skim,0.021111,0.021111,30:00.0,Sat,26,Mar,Weekend,4. Afternoon
Trace TV,male,None,24,3. Young Adult,Kwazulu Natal,0:02:06,1. Skim,0.035,0.035,28:00.0,Sat,6,Feb,Weekend,3. Mid_Morning
SuperSport Blitz,male,black,21,3. Young Adult,Limpopo,0:01:08,1. Skim,0.018889,0.018889,11:00.0,Sat,19,Mar,Weekend,6. Evening_Peak
ICC Cricket World Cup 2011,male,coloured,36,4. Adult,Western Cape,0:00:40,1. Skim,0.011111,0.011111,28:00.0,Tue,1,Mar,Weekday,5. Evening
Supersport Live Events,male,black,25,3. Young Adult,North West,0:00:00,1. Skim,0,0.00E+00,37:00.0,Fri,29,Jan,Weekday,4. Afternoon
Boomerang,male,black,25,3. Young Adult,North West,0:00:00,1. Skim,0,0.00E+00,03:00.0,Sun,31,Jan,Weekend,4. Afternoon
Cartoon Network,male,black,27,3. Young Adult,Gauteng,0:00:19,1. Skim,0.005278,0.005278,43:00.0,Mon,25,Jan,Weekday,5. Evening
Cartoon Network,male,white,52,4. Adult,Eastern Cape,0:01:00,1. Skim,0.016667,0.016667,48:00.0,Fri,22,Jan,Weekday,2. Morning_Peak
Channel O,female,coloured,31,3. Young Adult,Eastern Cape,0:00:15,1. Skim,0.004167,0.004167,34:00.0,Sat,6,Feb,Weekend,4. Afternoon
Cartoon Network,male,white,19,2. Teen,Gauteng,0:01:45,1. Skim,0.029167,0.029167,36:00.0,Thu,24,Mar,Weekday,2. Morning_Peak
Cartoon Network,male,coloured,41,4. Adult,Western Cape,0:00:31,1. Skim,0.008611,0.008611,51:00.0,Sun,10,Jan,Weekend,5. Evening
ICC Cricket World Cup 2011,male,black,35,3. Young Adult,Gauteng,0:00:18,1. Skim,0.005,0.005,58:00.0,Tue,15,Mar,Weekday,3. Mid_Morning
Africa Magic,male,black,46,4. Adult,Eastern Cape,0:00:17,1. Skim,0.004722,0.004722,43:00.0,Wed,27,Jan,Weekday,5. Evening
Channel O,male,coloured,26,3. Young Adult,Western Cape,0:00:12,1. Skim,0.003333,0.003333,31:00.0,Fri,29,Jan,Weekday,5. Evening
Trace TV,male,coloured,28,3. Young Adult,Western Cape,0:22:24,3. Regular_watch,0.373334,0.373334,58:00.0,Fri,4,Mar,Weekday,1. Graveyard
E! Entertainment,male,indian_asian,27,3. Young Adult,Gauteng,0:00:38,1. Skim,0.010556,0.010556,39:00.0,Sun,13,Mar,Weekend,5. Evening
ICC Cricket World Cup 2011,male,indian_asian,42,4. Adult,Gauteng,0:01:38,1. Skim,0.027223,0.027223,43:00.0,Mon,22,Feb,Weekday,5. Evening
SuperSport Blitz,male,black,25,3. Young Adult,Eastern Cape,0:00:40,1. Skim,0.011111,0.011111,10:00.0,Tue,9,Feb,Weekday,6. Evening_Peak
Supersport Live Events,male,white,43,4. Adult,Mpumalanga,0:00:26,1. Skim,0.007222,0.007222,57:00.0,Fri,19,Feb,Weekday,5. Evening
Trace TV,male,indian_asian,24,3. Young Adult,Kwazulu Natal,0:00:51,1. Skim,0.014167,0.014167,01:00.0,Wed,2,Mar,Weekday,4. Afternoon
Supersport Live Events,male,black,25,3. Young Adult,North West,0:01:06,1. Skim,0.018334,0.018334,34:00.0,Sun,14,Feb,Weekend,6. Evening_Peak
ICC Cricket World Cup 2011,male,other,26,3. Young Adult,Free State,0:01:24,1. Skim,0.023334,0.023334,17:00.0,Tue,29,Mar,Weekday,4. Afternoon
DStv Events 1,male,black,40,4. Adult,Gauteng,0:04:10,1. Skim,0.069445,0.069445,42:00.0,Thu,7,Jan,Weekday,5. Evening
Africa Magic,male,black,40,4. Adult,Gauteng,0:00:26,1. Skim,0.007222,0.007222,34:00.0,Fri,8,Jan,Weekday,4. Afternoon
Break in transmission,male,white,33,3. Young Adult,Western Cape,0:00:16,1. Skim,0.004444,0.004444,00:00.0,Sun,14,Feb,Weekend,2. Morning_Peak
ICC Cricket World Cup 2011,male,coloured,27,3. Young Adult,Kwazulu Natal,0:13:22,2. Short_watch,0.222778,0.222778,35:00.0,Sun,13,Mar,Weekend,4. Afternoon
Cartoon Network,male,coloured,27,3. Young Adult,Kwazulu Natal,0:11:56,2. Short_watch,0.198889,0.198889,02:00.0,Sat,27,Feb,Weekend,6. Evening_Peak
E! Entertainment,male,coloured,43,4. Adult,Western Cape,0:01:54,1. Skim,0.031667,0.031667,50:00.0,Mon,15,Feb,Weekday,5. Evening
Africa Magic,male,coloured,43,4. Adult,Western Cape,0:00:53,1. Skim,0.014722,0.014722,18:00.0,Tue,2,Feb,Weekday,6. Evening_Peak
Supersport Live Events,male,coloured,43,4. Adult,Western Cape,0:00:58,1. Skim,0.016111,0.016111,21:00.0,Tue,12,Jan,Weekday,4. Afternoon
Channel O,male,coloured,43,4. Adult,Western Cape,0:00:42,1. Skim,0.011667,0.011667,32:00.0,Fri,12,Feb,Weekday,5. Evening
SuperSport Blitz,male,None,55,4. Adult,Kwazulu Natal,0:01:16,1. Skim,0.021111,0.021111,08:00.0,Thu,25,Feb,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,white,39,4. Adult,Western Cape,0:05:12,2. Short_watch,0.086666,0.086666,59:00.0,Wed,2,Mar,Weekday,4. Afternoon
SawSee,male,black,40,4. Adult,Gauteng,0:01:44,1. Skim,0.028889,0.028889,29:00.0,Tue,23,Feb,Weekday,1. Graveyard
Cartoon Network,female,black,36,4. Adult,Gauteng,0:31:48,3. Regular_watch,0.53,0.53,10:00.0,Thu,31,Mar,Weekday,6. Evening_Peak
Trace TV,male,black,22,3. Young Adult,Gauteng,0:39:15,3. Regular_watch,0.654167,0.654167,48:00.0,Tue,22,Mar,Weekday,1. Graveyard
Boomerang,male,black,24,3. Young Adult,Mpumalanga,0:07:16,2. Short_watch,0.121111,0.121111,28:00.0,Sat,13,Feb,Weekend,4. Afternoon
Channel O,male,black,24,3. Young Adult,Limpopo,0:09:54,2. Short_watch,0.165,0.165,41:00.0,Wed,10,Feb,Weekday,4. Afternoon
Supersport Live Events,male,black,29,3. Young Adult,Western Cape,0:00:00,1. Skim,0,0.00E+00,10:00.0,Mon,7,Mar,Weekday,6. Evening_Peak
Channel O,male,black,51,4. Adult,Gauteng,0:00:45,1. Skim,0.0125,0.0125,14:00.0,Fri,22,Jan,Weekday,2. Morning_Peak
ICC Cricket World Cup 2011,male,coloured,38,4. Adult,Western Cape,0:00:48,1. Skim,0.013333,0.013333,46:00.0,Sat,26,Mar,Weekend,4. Afternoon
Africa Magic,female,black,24,3. Young Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,14:00.0,Sun,28,Feb,Weekend,5. Evening
SuperSport Blitz,male,coloured,22,3. Young Adult,Northern Cape,0:09:52,2. Short_watch,0.164444,0.164444,50:00.0,Mon,28,Mar,Weekday,6. Evening_Peak
Channel O,male,coloured,22,3. Young Adult,Northern Cape,0:09:27,2. Short_watch,0.1575,0.1575,19:00.0,Wed,30,Mar,Weekday,3. Mid_Morning
Channel O,male,black,18,2. Teen,Gauteng,0:04:09,1. Skim,0.069167,0.069167,06:00.0,Sat,19,Mar,Weekend,5. Evening
Supersport Live Events,male,indian_asian,23,3. Young Adult,Eastern Cape,0:01:24,1. Skim,0.023334,0.023334,36:00.0,Fri,25,Mar,Weekday,3. Mid_Morning
SawSee,male,white,28,3. Young Adult,Gauteng,0:02:04,1. Skim,0.034444,0.034444,29:00.0,Sat,5,Mar,Weekend,4. Afternoon
SuperSport Blitz,male,black,55,4. Adult,Limpopo,0:01:32,1. Skim,0.025556,0.025556,55:00.0,Mon,22,Feb,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,female,black,39,4. Adult,Western Cape,0:00:54,1. Skim,0.015,0.015,55:00.0,Sun,6,Mar,Weekend,3. Mid_Morning
Trace TV,male,black,18,2. Teen,Gauteng,0:02:33,1. Skim,0.0425,0.0425,35:00.0,Sat,16,Jan,Weekend,3. Mid_Morning
SawSee,male,white,32,3. Young Adult,Gauteng,0:00:57,1. Skim,0.015833,0.015833,16:00.0,Sun,28,Feb,Weekend,6. Evening_Peak
SawSee,male,white,50,4. Adult,Gauteng,0:01:19,1. Skim,0.021945,0.021945,56:00.0,Sun,3,Jan,Weekend,6. Evening_Peak
E! Entertainment,male,coloured,26,3. Young Adult,Kwazulu Natal,0:00:54,1. Skim,0.015,0.015,22:00.0,Tue,29,Mar,Weekday,4. Afternoon
Trace TV,female,black,23,3. Young Adult,Gauteng,0:07:24,2. Short_watch,0.123334,0.123334,32:00.0,Thu,4,Feb,Weekday,5. Evening
Cartoon Network,male,black,28,3. Young Adult,Limpopo,0:00:38,1. Skim,0.010556,0.010556,58:00.0,Wed,6,Jan,Weekday,5. Evening
Boomerang,male,black,28,3. Young Adult,Limpopo,0:00:45,1. Skim,0.0125,0.0125,00:00.0,Sun,31,Jan,Weekend,4. Afternoon
Trace TV,male,black,28,3. Young Adult,Gauteng,0:53:36,3. Regular_watch,0.893333,0.893333,55:00.0,Thu,11,Feb,Weekday,6. Evening_Peak
Africa Magic,male,white,32,3. Young Adult,Gauteng,0:00:07,1. Skim,0.001944,0.001944,24:00.0,Wed,3,Feb,Weekday,6. Evening_Peak
SuperSport Blitz,male,white,24,3. Young Adult,Western Cape,0:04:00,1. Skim,0.066667,0.066667,37:00.0,Wed,23,Mar,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,indian_asian,28,3. Young Adult,Gauteng,1:44:04,4. Long_watch,1.734444,1.734444,38:00.0,Sat,19,Mar,Weekend,3. Mid_Morning
Channel O,male,coloured,28,3. Young Adult,Limpopo,0:01:33,1. Skim,0.025834,0.025834,26:00.0,Wed,3,Feb,Weekday,6. Evening_Peak
Supersport Live Events,male,indian_asian,35,3. Young Adult,Kwazulu Natal,0:00:00,1. Skim,0,0.00E+00,43:00.0,Thu,25,Feb,Weekday,5. Evening
Supersport Live Events,male,indian_asian,40,4. Adult,Western Cape,0:00:24,1. Skim,0.006667,0.006667,56:00.0,Sun,6,Mar,Weekend,4. Afternoon
SuperSport Blitz,male,black,30,3. Young Adult,Western Cape,0:19:00,3. Regular_watch,0.316667,0.316667,05:00.0,Tue,9,Feb,Weekday,5. Evening
Trace TV,male,white,18,2. Teen,Kwazulu Natal,0:02:27,1. Skim,0.040833,0.040833,42:00.0,Sun,14,Feb,Weekend,3. Mid_Morning
SuperSport Blitz,male,white,65,5. Senior,Kwazulu Natal,0:10:12,2. Short_watch,0.17,0.17,52:00.0,Sat,5,Mar,Weekend,3. Mid_Morning
Supersport Live Events,None,None,0,1. Children,None,0:08:04,2. Short_watch,0.134444,0.134444,17:00.0,Sat,26,Mar,Weekend,2. Morning_Peak
Africa Magic,male,coloured,43,4. Adult,Western Cape,0:01:20,1. Skim,0.022223,0.022223,09:00.0,Thu,18,Feb,Weekday,6. Evening_Peak
Trace TV,male,coloured,55,4. Adult,Western Cape,0:01:09,1. Skim,0.019167,0.019167,27:00.0,Thu,28,Jan,Weekday,6. Evening_Peak
Channel O,male,black,30,3. Young Adult,Gauteng,2:27:57,Binge,2.465833,2.465833,52:00.0,Sat,27,Feb,Weekend,5. Evening
Supersport Live Events,male,coloured,43,4. Adult,Western Cape,0:00:38,1. Skim,0.010556,0.010556,01:00.0,Tue,19,Jan,Weekday,3. Mid_Morning
Trace TV,male,black,30,3. Young Adult,North West,0:03:57,1. Skim,0.065833,0.065833,04:00.0,Sun,7,Feb,Weekend,6. Evening_Peak
Trace TV,male,black,33,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,26:00.0,Tue,19,Jan,Weekday,5. Evening
Supersport Live Events,male,coloured,34,3. Young Adult,Western Cape,0:01:12,1. Skim,0.02,0.02,43:00.0,Tue,2,Feb,Weekday,6. Evening_Peak
Cartoon Network,male,black,33,3. Young Adult,Mpumalanga,0:02:15,1. Skim,0.0375,0.0375,30:00.0,Thu,21,Jan,Weekday,4. Afternoon
Supersport Live Events,male,black,32,3. Young Adult,Mpumalanga,0:21:26,3. Regular_watch,0.357222,0.357222,13:00.0,Fri,5,Feb,Weekday,4. Afternoon
Channel O,male,black,32,3. Young Adult,Mpumalanga,0:07:36,2. Short_watch,0.126667,0.126667,47:00.0,Thu,11,Feb,Weekday,5. Evening
ICC Cricket World Cup 2011,male,black,31,3. Young Adult,Gauteng,0:00:34,1. Skim,0.009444,0.009444,01:00.0,Mon,28,Mar,Weekday,4. Afternoon
SuperSport Blitz,male,black,47,4. Adult,North West,0:00:00,1. Skim,0,0.00E+00,55:00.0,Tue,12,Jan,Weekday,2. Morning_Peak
SuperSport Blitz,male,None,39,4. Adult,Western Cape,0:03:38,1. Skim,0.060556,0.060556,07:00.0,Tue,29,Mar,Weekday,6. Evening_Peak
SuperSport Blitz,male,None,61,4. Adult,Gauteng,0:00:28,1. Skim,0.007778,0.007778,15:00.0,Sat,16,Jan,Weekend,4. Afternoon
Boomerang,male,black,21,3. Young Adult,North West,0:00:47,1. Skim,0.013056,0.013056,59:00.0,Mon,21,Mar,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,coloured,39,4. Adult,Western Cape,0:12:10,2. Short_watch,0.202778,0.202778,21:00.0,Fri,4,Mar,Weekday,3. Mid_Morning
ICC Cricket World Cup 2011,male,coloured,39,4. Adult,Western Cape,0:00:50,1. Skim,0.013889,0.013889,29:00.0,Mon,28,Mar,Weekday,4. Afternoon
SuperSport Blitz,male,coloured,34,3. Young Adult,Western Cape,0:00:36,1. Skim,0.01,0.01,57:00.0,Thu,21,Jan,Weekday,2. Morning_Peak
Trace TV,male,black,33,3. Young Adult,Kwazulu Natal,0:00:00,1. Skim,0,0.00E+00,24:00.0,Wed,30,Mar,Weekday,5. Evening
Supersport Live Events,female,coloured,18,2. Teen,Gauteng,0:02:10,1. Skim,0.036111,0.036111,58:00.0,Sun,6,Mar,Weekend,4. Afternoon
E! Entertainment,male,black,39,4. Adult,Gauteng,0:00:14,1. Skim,0.003889,0.003889,17:00.0,Sat,30,Jan,Weekend,6. Evening_Peak
CNN,male,black,45,4. Adult,Gauteng,0:03:44,1. Skim,0.062222,0.062222,13:00.0,Mon,22,Feb,Weekday,4. Afternoon
CNN,male,black,45,4. Adult,Gauteng,0:12:28,2. Short_watch,0.207778,0.207778,48:00.0,Tue,16,Feb,Weekday,2. Morning_Peak
Boomerang,male,black,30,3. Young Adult,Mpumalanga,0:00:02,1. Skim,0.000556,0.000556,39:00.0,Fri,11,Mar,Weekday,1. Graveyard
SuperSport Blitz,male,black,49,4. Adult,Western Cape,0:03:36,1. Skim,0.06,0.06,53:00.0,Mon,28,Mar,Weekday,6. Evening_Peak
SuperSport Blitz,male,black,22,3. Young Adult,Limpopo,0:06:44,2. Short_watch,0.112222,0.112222,32:00.0,Sat,19,Mar,Weekend,3. Mid_Morning
ICC Cricket World Cup 2011,male,black,33,3. Young Adult,Gauteng,0:04:42,1. Skim,0.078334,0.078334,58:00.0,Thu,3,Mar,Weekday,3. Mid_Morning
Channel O,None,None,0,1. Children,None,0:02:27,1. Skim,0.040833,0.040833,22:00.0,Sat,26,Mar,Weekend,6. Evening_Peak
CNN,male,black,35,3. Young Adult,Mpumalanga,0:00:44,1. Skim,0.012222,0.012222,06:00.0,Mon,4,Jan,Weekday,4. Afternoon
Channel O,male,black,35,3. Young Adult,Mpumalanga,0:14:33,2. Short_watch,0.2425,0.2425,26:00.0,Thu,21,Jan,Weekday,6. Evening_Peak
MK,male,black,35,3. Young Adult,Mpumalanga,0:00:15,1. Skim,0.004167,0.004167,07:00.0,Wed,23,Mar,Weekday,2. Morning_Peak
Supersport Live Events,male,coloured,24,3. Young Adult,Western Cape,0:00:00,1. Skim,0,0.00E+00,08:00.0,Sat,19,Mar,Weekend,6. Evening_Peak
ICC Cricket World Cup 2011,male,indian_asian,27,3. Young Adult,Gauteng,0:00:00,1. Skim,0,0.00E+00,40:00.0,Wed,30,Mar,Weekday,4. Afternoon
CNN,male,black,42,4. Adult,Kwazulu Natal,0:06:57,2. Short_watch,0.115833,0.115833,55:00.0,Thu,14,Jan,Weekday,5. Evening
CNN,male,black,35,3. Young Adult,Gauteng,0:14:08,2. Short_watch,0.235555,0.235555,11:00.0,Thu,4,Feb,Weekday,6. Evening_Peak
Boomerang,female,None,39,4. Adult,Eastern Cape,0:00:00,1. Skim,0,0.00E+00,03:00.0,Thu,10,Mar,Weekday,5. Evening
Channel O,female,coloured,32,3. Young Adult,Western Cape,0:00:27,1. Skim,0.0075,0.0075,12:00.0,Fri,25,Mar,Weekday,4. Afternoon
Cartoon Network,male,coloured,60,4. Adult,Western Cape,0:05:29,2. Short_watch,0.091389,0.091389,38:00.0,Wed,13,Jan,Weekday,4. Afternoon
ICC Cricket World Cup 2011,male,None,35,3. Young Adult,Gauteng,0:08:48,2. Short_watch,0.146666,0.146666,49:00.0,Wed,2,Mar,Weekday,3. Mid_Morning
Africa Magic,male,indian_asian,37,4. Adult,Kwazulu Natal,0:00:10,1. Skim,0.002778,0.002778,16:00.0,Tue,12,Jan,Weekday,5. Evening
ICC Cricket World Cup 2011,male,indian_asian,43,4. Adult,Gauteng,0:00:16,1. Skim,0.004444,0.004444,45:00.0,Wed,23,Mar,Weekday,4. Afternoon
Channel O,male,coloured,29,3. Young Adult,Western Cape,0:16:21,3. Regular_watch,0.2725,0.2725,36:00.0,Thu,4,Feb,Weekday,4. Afternoon
M-Net,male,black,25,3. Young Adult,Gauteng,0:00:27,1. Skim,0.0075,0.0075,29:00.0,Mon,11,Jan,Weekday,6. Evening_Peak
ICC Cricket World Cup 2011,male,other,37,4. Adult,Western Cape,0:57:34,3. Regular_watch,0.959444,0.959444,11:00.0,Fri,25,Mar,Weekday,4. Afternoon
Vuzu,male,indian_asian,32,3. Young Adult,Western Cape,0:00:29,1. Skim,0.008056,0.008056,03:00.0,Wed,30,Mar,Weekday,1. Graveyard
Supersport Live Events,male,white,41,4. Adult,Gauteng,0:04:36,1. Skim,0.076667,0.076667,37:00.0,Mon,14,Mar,Weekday,2. Morning_Peak
Supersport Live Events,male,white,34,3. Young Adult,Gauteng,0:18:04,3. Regular_watch,0.301111,0.301111,58:00.0,Fri,18,Mar,Weekday,2. Morning_Peak
SuperSport Blitz,male,black,24,3. Young Adult,Mpumalanga,0:08:44,2. Short_watch,0.145555,0.145555,36:00.0,Wed,9,Mar,Weekday,6. Evening_Peak
Trace TV,female,black,44,4. Adult,Gauteng,0:00:18,1. Skim,0.005,0.005,22:00.0,Sat,23,Jan,Weekend,5. Evening
ICC Cricket World Cup 2011,male,white,41,4. Adult,Gauteng,0:19:52,3. Regular_watch,0.331111,0.331111,44:00.0,Fri,19,Feb,Weekday,4. Afternoon
